"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 07:05:40 IST 2026","Thu May 28 07:05:49 IST 2026","8291","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 07:06:08 IST 2026","Thu May 28 07:06:09 IST 2026","1226","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 07:05:34 IST 2026","Thu May 28 07:05:44 IST 2026","10269","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNewlyCreatedNoteAppearsInstantly","verifyNewlyCreatedNoteAppearsInstantly",""
"passed","Thu May 28 07:08:53 IST 2026","Thu May 28 07:09:00 IST 2026","6429","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 07:05:34 IST 2026","Thu May 28 07:05:38 IST 2026","4073","ParallelSuite","AllParallelTests","tests.api.UnauthorizedApiTests","tests.api.UnauthorizedApiTests","verifyUnauthorizedApiRequestHandling","verifyUnauthorizedApiRequestHandling",""
"passed","Thu May 28 07:07:56 IST 2026","Thu May 28 07:08:51 IST 2026","55354","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 07:09:11 IST 2026","Thu May 28 07:09:13 IST 2026","1787","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 07:05:46 IST 2026","Thu May 28 07:05:52 IST 2026","6658","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifySuccessfulNoteDeletion","verifySuccessfulNoteDeletion",""
"passed","Thu May 28 07:06:34 IST 2026","Thu May 28 07:06:38 IST 2026","4596","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyCreatedNoteStillExistsInApi","verifyCreatedNoteStillExistsInApi",""
"passed","Thu May 28 07:06:27 IST 2026","Thu May 28 07:06:40 IST 2026","13497","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiStabilityDuringMultipleRequests","verifyApiStabilityDuringMultipleRequests",""
"passed","Thu May 28 07:06:25 IST 2026","Thu May 28 07:06:27 IST 2026","1189","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiResponseTime","verifyApiResponseTime",""
"passed","Thu May 28 07:06:00 IST 2026","Thu May 28 07:06:01 IST 2026","922","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 07:06:05 IST 2026","Thu May 28 07:06:18 IST 2026","13367","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyUiCreatedNoteInApi","verifyUiCreatedNoteInApi",""
"broken","Thu May 28 07:05:40 IST 2026","Thu May 28 07:07:30 IST 2026","109351","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 07:05:52 IST 2026","Thu May 28 07:05:54 IST 2026","1327","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifyInvalidNoteIdDeletion","verifyInvalidNoteIdDeletion",""
"failed","Thu May 28 07:05:58 IST 2026","Thu May 28 07:06:51 IST 2026","52370","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDisappearsFromUi","verifyDeletedNoteDisappearsFromUi",""
"passed","Thu May 28 07:09:04 IST 2026","Thu May 28 07:09:06 IST 2026","1777","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"skipped","Thu May 28 07:06:52 IST 2026","Thu May 28 07:06:52 IST 2026","0","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDoesNotReappearAfterRefresh","verifyDeletedNoteDoesNotReappearAfterRefresh",""
"passed","Thu May 28 07:09:18 IST 2026","Thu May 28 07:09:20 IST 2026","1527","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 07:05:44 IST 2026","Thu May 28 07:05:46 IST 2026","1466","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNoteVisibilityAfterRefresh","verifyNoteVisibilityAfterRefresh",""
