"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 12:19:22 IST 2026","Thu May 28 12:19:31 IST 2026","9138","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNewlyCreatedNoteAppearsInstantly","verifyNewlyCreatedNoteAppearsInstantly",""
"passed","Thu May 28 12:19:31 IST 2026","Thu May 28 12:19:33 IST 2026","1492","ParallelSuite","AllParallelTests","tests.api.NotesApiTests","tests.api.NotesApiTests","verifyNoteVisibilityAfterRefresh","verifyNoteVisibilityAfterRefresh",""
"passed","Thu May 28 12:20:29 IST 2026","Thu May 28 12:20:30 IST 2026","1055","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:20:29 IST 2026","Thu May 28 12:20:30 IST 2026","1146","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiResponseTime","verifyApiResponseTime",""
"passed","Thu May 28 12:21:16 IST 2026","Thu May 28 12:21:19 IST 2026","3420","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:20:35 IST 2026","Thu May 28 12:20:57 IST 2026","22251","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:19:32 IST 2026","Thu May 28 12:19:35 IST 2026","3342","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:21:03 IST 2026","Thu May 28 12:21:05 IST 2026","2619","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:19:39 IST 2026","Thu May 28 12:19:42 IST 2026","2762","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifyInvalidNoteIdDeletion","verifyInvalidNoteIdDeletion",""
"passed","Thu May 28 12:21:24 IST 2026","Thu May 28 12:21:28 IST 2026","3923","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:19:47 IST 2026","Thu May 28 12:19:56 IST 2026","8963","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyUiCreatedNoteInApi","verifyUiCreatedNoteInApi",""
"failed","Thu May 28 12:19:57 IST 2026","Thu May 28 12:20:24 IST 2026","27101","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDisappearsFromUi","verifyDeletedNoteDisappearsFromUi",""
"passed","Thu May 28 12:20:30 IST 2026","Thu May 28 12:20:41 IST 2026","10325","ParallelSuite","AllParallelTests","tests.api.NotesPerformanceApiTests","tests.api.NotesPerformanceApiTests","verifyApiStabilityDuringMultipleRequests","verifyApiStabilityDuringMultipleRequests",""
"passed","Thu May 28 12:20:41 IST 2026","Thu May 28 12:20:42 IST 2026","1535","ParallelSuite","AllParallelTests","tests.ui.LoginTests","tests.ui.LoginTests","verifyLogin","verifyLogin",""
"passed","Thu May 28 12:20:41 IST 2026","Thu May 28 12:20:44 IST 2026","3454","ParallelSuite","AllParallelTests","tests.e2e.NotesHybridTests","tests.e2e.NotesHybridTests","verifyCreatedNoteStillExistsInApi","verifyCreatedNoteStillExistsInApi",""
"passed","Thu May 28 12:21:09 IST 2026","Thu May 28 12:21:12 IST 2026","2269","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"skipped","Thu May 28 12:20:41 IST 2026","Thu May 28 12:20:41 IST 2026","0","ParallelSuite","AllParallelTests","tests.e2e.NotesDeletionHybridTests","tests.e2e.NotesDeletionHybridTests","verifyDeletedNoteDoesNotReappearAfterRefresh","verifyDeletedNoteDoesNotReappearAfterRefresh",""
"passed","Thu May 28 12:19:22 IST 2026","Thu May 28 12:19:26 IST 2026","4299","ParallelSuite","AllParallelTests","tests.api.UnauthorizedApiTests","tests.api.UnauthorizedApiTests","verifyUnauthorizedApiRequestHandling","verifyUnauthorizedApiRequestHandling",""
"passed","Thu May 28 12:19:32 IST 2026","Thu May 28 12:20:02 IST 2026","29596","ParallelSuite","AllParallelTests","tests.ui.NotesUiTests","tests.ui.NotesUiTests","verifyNoteCreation","verifyNoteCreation",""
"passed","Thu May 28 12:19:33 IST 2026","Thu May 28 12:19:39 IST 2026","6560","ParallelSuite","AllParallelTests","tests.api.NotesDeleteApiTests","tests.api.NotesDeleteApiTests","verifySuccessfulNoteDeletion","verifySuccessfulNoteDeletion",""
